"date","likes"
2011-03-04 14:36:04.000,2
2011-03-05 14:01:47.000,0
2011-03-05 17:48:08.000,12
2011-03-09 11:26:40.000,3
2011-03-11 11:55:23.000,3
2011-03-11 15:53:48.000,0
2011-03-14 18:58:04.000,5
2011-03-15 16:32:54.000,0
2011-03-15 19:28:16.000,8
2011-03-16 12:12:13.000,4
2011-03-16 18:45:45.000,1
2011-03-16 18:49:00.000,2
2011-03-17 16:02:42.000,3
2011-03-17 18:17:26.000,3
2011-03-18 16:41:04.000,3
2011-03-18 17:16:30.000,8
2011-03-21 16:30:25.000,0
2011-03-22 10:37:22.000,2
2011-03-22 11:24:23.000,3
2011-03-22 17:16:06.000,0
2011-03-23 11:40:50.000,2
2011-03-28 13:46:20.000,1
2011-03-28 15:21:06.000,2
2011-03-29 16:56:09.000,3
2011-03-30 13:15:13.000,3
2011-03-30 14:36:53.000,7
2011-03-30 18:06:37.000,6
2011-03-31 13:57:09.000,10
2011-04-01 09:56:29.000,4
2011-04-01 13:31:23.000,9
2011-04-04 14:03:36.000,8
2011-04-05 16:50:48.000,7
2011-04-06 12:46:39.000,2
2011-04-07 14:50:22.000,13
2011-04-08 14:47:41.000,7
2011-04-12 10:59:46.000,3
2011-04-12 17:05:36.000,0
2011-04-13 10:59:02.000,1
2011-04-14 13:39:40.000,11
2011-04-14 16:15:45.000,2
2011-04-15 17:02:47.000,7
2011-04-19 17:42:26.000,7
2011-04-20 11:13:40.000,1
2011-04-20 13:20:51.000,5
2011-04-25 13:48:40.000,3
2011-04-26 15:28:57.000,1
2011-04-27 12:11:22.000,34
2011-04-28 13:22:23.000,3
2011-05-04 18:44:08.000,2
2011-05-05 14:50:04.000,0
2011-05-05 16:57:23.000,0
2011-05-06 11:18:00.000,0
2011-05-11 18:15:26.000,7
2011-05-12 09:02:06.000,1
2011-05-12 12:10:47.000,37
2011-05-13 12:47:08.000,0
2011-05-13 16:12:43.000,0
2011-05-13 18:04:48.000,5
2011-05-17 11:08:53.000,0
2011-05-17 11:31:20.000,16
2011-05-18 09:39:06.000,4
2011-05-18 23:45:45.000,1
2011-05-20 14:42:51.000,0
2011-05-23 15:10:52.000,46
2011-05-24 11:58:29.000,12
2011-05-24 12:59:23.000,3
2011-05-25 17:46:53.000,0
2011-05-26 13:38:14.000,14
2011-05-26 16:00:15.000,17
2011-05-31 11:29:17.000,28
2011-05-31 14:09:25.000,1
2011-06-06 14:24:38.000,16
2011-06-06 21:07:55.000,0
2011-06-07 13:31:09.000,31
2011-06-07 16:20:14.000,3
2011-06-07 22:12:36.000,21
2011-06-08 12:09:29.000,25
2011-06-08 13:58:27.000,3
2011-06-08 19:02:20.000,35
2011-06-10 13:26:24.000,17
2011-06-10 14:05:00.000,3
2011-06-10 20:25:07.000,16
2011-06-15 15:11:23.000,29
2011-06-15 17:43:22.000,5
2011-06-16 11:27:41.000,11
2011-06-17 13:35:37.000,4
2011-06-18 11:19:46.000,11
2011-06-21 10:38:28.000,14
2011-06-22 15:08:13.000,1
2011-06-24 11:03:53.000,2
2011-06-24 11:26:19.000,0
2011-06-27 14:04:32.000,6
2011-06-29 14:23:41.000,0
2011-06-30 15:16:05.000,1
2011-06-30 15:17:34.000,1
2011-07-01 13:00:17.000,3
2011-07-01 18:21:13.000,0
2011-07-01 18:22:21.000,1
2011-07-04 13:16:20.000,1
2011-07-04 17:24:04.000,5
2011-07-05 16:05:20.000,2
2011-07-06 11:34:56.000,6
2011-07-06 14:42:23.000,4
2011-07-07 15:04:18.000,2
2011-07-08 16:24:22.000,29
2011-07-12 11:40:00.000,4
2011-07-12 13:35:22.000,5
2011-07-13 14:46:06.000,1
2011-07-14 13:11:38.000,0
2011-07-14 16:00:20.000,3
2011-07-18 18:26:14.000,109
2011-07-19 11:41:43.000,9
2011-07-19 14:46:04.000,1
2011-07-20 13:06:41.000,0
2011-07-20 14:37:09.000,5
2011-07-22 12:44:02.000,21
2011-07-25 13:17:28.000,0
2011-07-25 14:33:59.000,4
